frame_number,timestamp_seconds,has_face,face_index,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,face_center_x,face_center_y,landmark_left_eye_x,landmark_left_eye_y,landmark_right_eye_x,landmark_right_eye_y,landmark_nose_x,landmark_nose_y,landmark_mouth_left_x,landmark_mouth_left_y,landmark_mouth_right_x,landmark_mouth_right_y,inout_score,gaze_target_x,gaze_target_y,gaze_vector_x,gaze_vector_y,gaze_vector_normalized_x,gaze_vector_normalized_y,gaze_vector_distance,gaze_vector_angle_degrees,heatmap_max_value,heatmap_mean_value,heatmap_std_value
0,0.0,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,182.0,63.0,178.0,64.0,179.0,67.0,183.0,69.0,180.0,70.0,0.8161965012550354,170.0,90.0,-11.5625,26.0,-0.40634224978189964,0.9137209508609202,28.455076985487143,113.97526680209005,0.18657511472702026,0.013408836908638477,0.02547922544181347
1,0.034482758620689655,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,182.0,63.0,177.0,63.0,179.0,67.0,183.0,69.0,180.0,70.0,0.8192992806434631,176.0,50.0,-5.25,-13.375,-0.36538319823993454,-0.9308571955160236,14.368476780786473,-111.4311672762332,0.19392651319503784,0.013395765796303749,0.025536086410284042
2,0.06896551724137931,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,182.0,63.0,177.0,63.0,178.0,67.0,183.0,69.0,180.0,70.0,0.8109543323516846,176.0,50.0,-5.25,-13.375,-0.36538319823993454,-0.9308571955160236,14.368476780786473,-111.4311672762332,0.17464827001094818,0.013479236513376236,0.02496798150241375
3,0.10344827586206896,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,182.0,63.0,177.0,64.0,178.0,67.0,183.0,69.0,180.0,70.0,0.825796365737915,170.0,90.0,-11.5625,26.0,-0.40634224978189964,0.9137209508609202,28.455076985487143,113.97526680209005,0.1757533848285675,0.01315866969525814,0.024365214630961418
4,0.13793103448275862,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,181.0,63.0,177.0,63.0,178.0,67.0,183.0,69.0,180.0,69.0,0.8319792747497559,170.0,90.0,-11.5625,26.0,-0.40634224978189964,0.9137209508609202,28.455076985487143,113.97526680209005,0.19698847830295563,0.013319849036633968,0.02548043243587017
5,0.1724137931034483,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,181.0,63.0,177.0,63.0,178.0,67.0,183.0,69.0,180.0,69.0,0.8545224070549011,170.0,90.0,-11.5625,26.0,-0.40634224978189964,0.9137209508609202,28.455076985487143,113.97526680209005,0.19074422121047974,0.012648064643144608,0.024505913257598877
6,0.20689655172413793,True,0.0,176.0,55.0,189.0,73.0,13.0,18.0,182.0,64.0,181.0,63.0,177.0,64.0,178.0,67.0,183.0,69.0,180.0,69.0,0.8726291656494141,104.0,196.0,-77.84375,132.875,-0.5054851300994884,0.8628353164122939,153.9981007644656,120.36356167576322,0.18937014043331146,0.013072997331619263,0.02521897293627262
6,0.20689655172413793,True,1.0,119.0,51.0,134.0,68.0,15.0,17.0,126.0,59.0,131.0,59.0,125.0,59.0,128.0,63.0,127.0,66.0,124.0,65.0,0.6313405632972717,173.0,50.0,47.59375,-8.375,0.9848680724666585,-0.17330574091993728,48.32500040416451,-9.980077757058886,0.24718213081359863,0.014521817676723003,0.028724299743771553
7,0.2413793103448276,True,0.0,175.0,55.0,189.0,73.0,14.0,18.0,182.0,64.0,181.0,62.0,177.0,63.0,178.0,66.0,183.0,68.0,179.0,69.0,0.8581352829933167,104.0,196.0,-77.84375,132.875,-0.5054851300994884,0.8628353164122939,153.9981007644656,120.36356167576322,0.17823229730129242,0.013029661029577255,0.024866774678230286
8,0.27586206896551724,True,0.0,175.0,55.0,189.0,73.0,14.0,18.0,182.0,64.0,181.0,62.0,177.0,63.0,178.0,66.0,183.0,68.0,179.0,69.0,0.90111243724823,104.0,196.0,-77.84375,132.875,-0.5054851300994884,0.8628353164122939,153.9981007644656,120.36356167576322,0.2094527930021286,0.013244744390249252,0.02621217630803585
